# GENERATED by hc-conformance --write-rule-interaction-pairs. One line per pipeline-permitted
# ordered pair of rule-bearing units within a Stratum (or between two adjacent Strata) --
# OrderingGenerator.EnumerateStratumPairs's denominator for rule-interaction coverage, classified
# by CheckStratumPairDisjointDomains. Self-pairs are included (see the method doc for why); an
# AffixTemplate is one unit, never exploded into its Slot rules -- those are already pinned by
# OrderingGenerator's adjacent-pair AffixTemplateSlots list. pair_kind is same-stage, cross-stage,
# or cross-stratum. domain_relation is only ever Disjoint/Overlaps for a PhonologicalRule pair;
# every other unit-kind combination is Undetermined by construction.
fixture	stratum_a	stratum_b	pair_kind	unit_a_kind	unit_a	unit_b_kind	unit_b	domain_relation
edge-cases/alpha-variable-name-collision	Main	Main	SameStage	PhonologicalRule	prDoubleAlpha	PhonologicalRule	prDoubleAlpha	Overlaps
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crDecoy	MorphologicalRule	crDecoy	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crDecoy	MorphologicalRule	crJoin	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crDecoy	MorphologicalRule	crJoinInsert	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crDecoy	MorphologicalRule	crNever	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crDecoy	MorphologicalRule	mrTplSuf	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoin	MorphologicalRule	crDecoy	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoin	MorphologicalRule	crJoin	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoin	MorphologicalRule	crJoinInsert	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoin	MorphologicalRule	crNever	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoin	MorphologicalRule	mrTplSuf	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoinInsert	MorphologicalRule	crDecoy	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoinInsert	MorphologicalRule	crJoin	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoinInsert	MorphologicalRule	crJoinInsert	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoinInsert	MorphologicalRule	crNever	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crJoinInsert	MorphologicalRule	mrTplSuf	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crNever	MorphologicalRule	crDecoy	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crNever	MorphologicalRule	crJoin	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crNever	MorphologicalRule	crJoinInsert	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crNever	MorphologicalRule	crNever	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	crNever	MorphologicalRule	mrTplSuf	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	mrTplSuf	MorphologicalRule	crDecoy	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	mrTplSuf	MorphologicalRule	crJoin	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	mrTplSuf	MorphologicalRule	crJoinInsert	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	mrTplSuf	MorphologicalRule	crNever	Undetermined
edge-cases/compounding-breadth	Main	Main	SameStage	MorphologicalRule	mrTplSuf	MorphologicalRule	mrTplSuf	Undetermined
edge-cases/cross-table-root-respelling	Final	Final	SameStage	MorphologicalRule	mrSuffix	MorphologicalRule	mrSuffix	Undetermined
edge-cases/deep-optional-affix-nesting	Main	Main	SameStage	AffixTemplate	deepOptionalTemplate	AffixTemplate	deepOptionalTemplate	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rDim	MorphologicalRule	rDim	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rDim	MorphologicalRule	rPl	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rDim	AffixTemplate	suffixTemplate	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rPl	MorphologicalRule	rDim	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rPl	MorphologicalRule	rPl	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	MorphologicalRule	rPl	AffixTemplate	suffixTemplate	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	AffixTemplate	suffixTemplate	MorphologicalRule	rDim	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	AffixTemplate	suffixTemplate	MorphologicalRule	rPl	Undetermined
edge-cases/diacritic-segments	Main	Main	SameStage	AffixTemplate	suffixTemplate	AffixTemplate	suffixTemplate	Undetermined
edge-cases/disjunctive-recheck	Main	Main	SameStage	MorphologicalRule	ruleD	MorphologicalRule	ruleD	Undetermined
edge-cases/disjunctive-recheck	Main	Main	SameStage	MorphologicalRule	ruleD	MorphologicalRule	ruleT	Undetermined
edge-cases/disjunctive-recheck	Main	Main	SameStage	MorphologicalRule	ruleT	MorphologicalRule	ruleD	Undetermined
edge-cases/disjunctive-recheck	Main	Main	SameStage	MorphologicalRule	ruleT	MorphologicalRule	ruleT	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrAgr	MorphologicalRule	mrAgr	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrAgr	MorphologicalRule	mrEmph	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrAgr	MorphologicalRule	mrLoud	Undetermined
