# GENERATED by hc-conformance --write-rule-interaction-pairs. One line per pipeline-permitted
# ordered pair of rule-bearing units within a Stratum (or between two adjacent Strata) --
# OrderingGenerator.EnumerateStratumPairs's denominator for rule-interaction coverage, classified
# by CheckStratumPairDisjointDomains. Self-pairs are included (see the method doc for why); an
# AffixTemplate is one unit, never exploded into its Slot rules -- those are already pinned by
# OrderingGenerator's adjacent-pair AffixTemplateSlots list. pair_kind is same-stage, cross-stage,
# or cross-stratum. domain_relation is only ever Disjoint/Overlaps for a PhonologicalRule pair;
# every other unit-kind combination is Undetermined by construction.
fixture	stratum_a	stratum_b	pair_kind	unit_a_kind	unit_a	unit_b_kind	unit_b	domain_relation
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrAgr	MorphologicalRule	rrPast	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrEmph	MorphologicalRule	mrAgr	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrEmph	MorphologicalRule	mrEmph	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrEmph	MorphologicalRule	mrLoud	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrEmph	MorphologicalRule	rrPast	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrLoud	MorphologicalRule	mrAgr	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrLoud	MorphologicalRule	mrEmph	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrLoud	MorphologicalRule	mrLoud	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	mrLoud	MorphologicalRule	rrPast	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	rrPast	MorphologicalRule	mrAgr	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	rrPast	MorphologicalRule	mrEmph	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	rrPast	MorphologicalRule	mrLoud	Undetermined
edge-cases/feature-gating-breadth	Main	Main	SameStage	MorphologicalRule	rrPast	MorphologicalRule	rrPast	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	MorphologicalRule	mrSuffixK	MorphologicalRule	mrSuffixK	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtDecoy	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtDecoy	PhonologicalRule	prDecFeat	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtDecoy	PhonologicalRule	prDecFnc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtDecoy	PhonologicalRule	prDecNc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	prDecFeat	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	prDecFnc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	prDecNc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwapOverlap	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwapOverlap	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwapOverlap	PhonologicalRule	prDecFeat	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwapOverlap	PhonologicalRule	prDecFnc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	mtSwapOverlap	PhonologicalRule	prDecNc	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	prAlpha	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	prDecFeat	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	prDecFnc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	prDecNc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prAlpha	PhonologicalRule	prHighTrigger	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecFeat	PhonologicalRule	prDecFeat	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecFeat	PhonologicalRule	prDecFnc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecFeat	PhonologicalRule	prDecNc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecFnc	PhonologicalRule	prDecFnc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecNc	PhonologicalRule	prDecFnc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecNc	PhonologicalRule	prDecNc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prAlpha	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prDecFeat	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prDecFnc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prDecNc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prDecoy	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prDecoy	PhonologicalRule	prHighTrigger	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	prDecFeat	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	prDecFnc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	prDecNc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prHighTrigger	PhonologicalRule	prHighTrigger	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prAlpha	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prDecFeat	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prDecFnc	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prDecNc	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prDecoy	Overlaps
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prHighTrigger	Disjoint
edge-cases/feature-system-breadth	Main	Main	SameStage	PhonologicalRule	prRaise	PhonologicalRule	prRaise	Overlaps
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	mtDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	mtSwap	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	mtSwapOverlap	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prAlpha	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prDecFeat	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prDecFnc	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prDecNc	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prDecoy	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prHighTrigger	Undetermined
edge-cases/feature-system-breadth	Main	Main	CrossStage	MorphologicalRule	mrSuffixK	PhonologicalRule	prRaise	Undetermined
edge-cases/free-fluctuating-allomorph-pair	S	S	SameStage	MorphologicalRule	ruleS	MorphologicalRule	ruleS	Undetermined
edge-cases/loader-default-symbol	main	main	SameStage	PhonologicalRule	pr1	PhonologicalRule	pr1	Undetermined
edge-cases/loader-isactive-breadth	Main	Main	SameStage	AffixTemplate	decoyTemplate	AffixTemplate	decoyTemplate	Undetermined
edge-cases/loader-isactive-breadth	Main	Main	SameStage	AffixTemplate	decoyTemplate	AffixTemplate	liveTemplate	Undetermined
edge-cases/loader-isactive-breadth	Main	Main	SameStage	AffixTemplate	liveTemplate	AffixTemplate	decoyTemplate	Undetermined
edge-cases/loader-isactive-breadth	Main	Main	SameStage	AffixTemplate	liveTemplate	AffixTemplate	liveTemplate	Undetermined
edge-cases/metathesis-comparison-crash	Main	Main	SameStage	PhonologicalRule	mtSwap	PhonologicalRule	mtSwap	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrConferExcl	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrExclReader	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep0	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	MorphologicalRule	mrRep2	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	finalTemplate	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	MorphologicalRule	mrConferExcl	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	MorphologicalRule	mrExclReader	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	MorphologicalRule	mrRep0	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	MorphologicalRule	mrRep2	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	AffixTemplate	finalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Main	Main	SameStage	AffixTemplate	nonFinalTemplate	AffixTemplate	nonFinalTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Second	Second	SameStage	MorphologicalRule	mrPO	MorphologicalRule	mrPO	Undetermined
edge-cases/morphotactic-attribute-breadth	Second	Second	SameStage	MorphologicalRule	mrPO	AffixTemplate	pogTemplate	Undetermined
edge-cases/morphotactic-attribute-breadth	Second	Second	SameStage	AffixTemplate	pogTemplate	MorphologicalRule	mrPO	Undetermined
edge-cases/morphotactic-attribute-breadth	Second	Second	SameStage	AffixTemplate	pogTemplate	AffixTemplate	pogTemplate	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrDelExclSrc	MorphologicalRule	mrDelExclSrc	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrDelExclSrc	MorphologicalRule	mrNPfx	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrDelExclSrc	MorphologicalRule	mrSuf	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrDelExclSrc	MorphologicalRule	mrSufAlt	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrNPfx	MorphologicalRule	mrDelExclSrc	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrNPfx	MorphologicalRule	mrNPfx	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrNPfx	MorphologicalRule	mrSuf	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrNPfx	MorphologicalRule	mrSufAlt	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSuf	MorphologicalRule	mrDelExclSrc	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSuf	MorphologicalRule	mrNPfx	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSuf	MorphologicalRule	mrSuf	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSuf	MorphologicalRule	mrSufAlt	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSufAlt	MorphologicalRule	mrDelExclSrc	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSufAlt	MorphologicalRule	mrNPfx	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSufAlt	MorphologicalRule	mrSuf	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	MorphologicalRule	mrSufAlt	MorphologicalRule	mrSufAlt	Undetermined
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prNasalAssimAlveolar	PhonologicalRule	prNasalAssimAlveolar	Overlaps
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prNasalAssimAlveolar	PhonologicalRule	prObstruentDeletion	Overlaps
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prNasalAssimBilabial	PhonologicalRule	prNasalAssimAlveolar	Overlaps
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prNasalAssimBilabial	PhonologicalRule	prNasalAssimBilabial	Overlaps
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prNasalAssimBilabial	PhonologicalRule	prObstruentDeletion	Overlaps
edge-cases/mpr-gated-exception	Main	Main	SameStage	PhonologicalRule	prObstruentDeletion	PhonologicalRule	prObstruentDeletion	Overlaps
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrDelExclSrc	PhonologicalRule	prNasalAssimAlveolar	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrDelExclSrc	PhonologicalRule	prNasalAssimBilabial	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrDelExclSrc	PhonologicalRule	prObstruentDeletion	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrNPfx	PhonologicalRule	prNasalAssimAlveolar	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrNPfx	PhonologicalRule	prNasalAssimBilabial	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrNPfx	PhonologicalRule	prObstruentDeletion	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrSuf	PhonologicalRule	prNasalAssimAlveolar	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrSuf	PhonologicalRule	prNasalAssimBilabial	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrSuf	PhonologicalRule	prObstruentDeletion	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrSufAlt	PhonologicalRule	prNasalAssimAlveolar	Undetermined
edge-cases/mpr-gated-exception	Main	Main	CrossStage	MorphologicalRule	mrSufAlt	PhonologicalRule	prNasalAssimBilabial	Undetermined
