# GENERATED by hc-conformance --write-coverage-traceability. Obligations a language-
# family grammar could pick up by growing an existing fixture, keyed on WITNESS (a real
# word-level counterfactual delta) never mere presence -- see FoldInCategory's own doc
# comments for exactly what each category claims and does not claim.
#   EdgeCaseOnly                     only a fabricated edge case witnesses this; folding
#                                    it in needs new grammar content
#   PresentInLanguageGrammarAlready  surface layer only: a language grammar already
#                                    structurally contains it; new WORDS may be enough
#   NeverWitnessed                   interface layer only: present somewhere, witnessed
#                                    nowhere -- not a fold-in target, a named gap
layer	obligation	category	detail
Surface	dtd:enum/LexicalEntry/partial/false	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/LexicalEntry/partial/true	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MetathesisRule/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MetathesisRule/multipleApplicationOrder/rightToLeftIterative	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphemeCoOccurrenceRule/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalPhonologicalRuleFeature/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalPhonologicalRuleFeatureGroup/outputType/append	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/blockable/false	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/multipleApplication/0	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/multipleApplication/2	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalRule/partial/true	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/MorphologicalSubrule/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/PhoneticTemplate/finalBoundaryCondition/true	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/right-to-left-anchor-environment; also structurally present in a languages/* grammar
Surface	dtd:enum/PhonologicalRule/multipleApplicationOrder/rightToLeftIterative	EdgeCaseOnly	recorded best evidence: edge-cases/right-to-left-anchor-environment; no languages/* grammar contains this surface at all
Surface	dtd:enum/PhonologicalSubrule/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/RealizationalRule/blockable/false	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/RealizationalRule/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/morphotactic-attribute-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/SegmentDefinition/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/SegmentNaturalClass/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Slot/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Slot/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/Stratum/isActive/yes	EdgeCaseOnly	recorded best evidence: edge-cases/loader-isactive-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/SymbolicFeature/isActive/no	EdgeCaseOnly	recorded best evidence: edge-cases/feature-system-breadth; no languages/* grammar contains this surface at all
Surface	dtd:enum/VariableFeature/name/%CE%B1	PresentInLanguageGrammarAlready	recorded best evidence: edge-cases/alpha-variable-name-collision; also structurally present in a languages/* grammar
Surface	dtd:enum/VariableFeature/name/%CE%B2	EdgeCaseOnly	recorded best evidence: edge-cases/alpha-variable-name-collision; no languages/* grammar contains this surface at all
Interface	AllomorphCoOccurrenceRule.otherAllomorphs	NeverWitnessed	present in 2 fixture(s), witnessed by none
Interface	AllomorphCoOccurrenceRule.primaryAllomorph	NeverWitnessed	present in 2 fixture(s), witnessed by none
Interface	AlphaVariable.variableFeature	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	BoundaryMarker.boundary	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	CompoundingRule.nonHeadPartsOfSpeech	NeverWitnessed	present in 3 fixture(s), witnessed by none
Interface	CompoundingRule.outputObligatoryFeatures	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	CompoundingRule.outputPartOfSpeech	EdgeCaseOnly	witnessed only by: edge-cases/compounding-breadth
Interface	CopyFromInput.index	NeverWitnessed	present in 24 fixture(s), witnessed by none
Interface	FeatureValue.feature	NeverWitnessed	present in 23 fixture(s), witnessed by none
Interface	FeatureValue.symbolValues	NeverWitnessed	present in 23 fixture(s), witnessed by none
Interface	HeadMorphologicalInput.excludedMPRFeatures	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	HeadMorphologicalInput.requiredMPRFeatures	NeverWitnessed	present in 1 fixture(s), witnessed by none
Interface	MetathesisRule.leftSwitch	NeverWitnessed	present in 3 fixture(s), witnessed by none
