# GENERATED. One line per coverage item resolved by evidence -- an item resolved by
# proof instead lives in semantic-coverage-proofs.tsv, never here. Columns are
# explicit so CoverageCompletenessGate reads structure, never Delta's free-text prose.
# counterexample_kind is Word or LoadFailure and the two are never summed into one
# count -- see CoverageCompletenessGate. Absent fields are "-".
item_id	kind	fixture	example_word	example_outcome	counterexample_kind	counterexample_outcome	mutation	verdict
dtd:element/HeadMorphologicalInput	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	removed 4 <HeadMorphologicalInput> element(s)	RequiredToLoad
dtd:element/HeadRequiredFootFeatures	Surface	edge-cases/compounding-breadth	patu	ok::-	Word	ok::PA+TU|patu	removed 2 <HeadRequiredFootFeatures> element(s)	Evidenced
dtd:element/HeadRequiredHeadFeatures	Surface	edge-cases/compounding-breadth	kutu	ok::-	Word	ok::KU+TU|kutu	removed 2 <HeadRequiredHeadFeatures> element(s)	Evidenced
dtd:element/HermitCrabInput	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Token EndDocument in state Document would result in an invalid XML document.	removed 1 <HermitCrabInput> element(s)	RequiredToLoad
dtd:element/InsertSegments	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	Word	ok::YEAR+DIM|año;YEAR+PL|año;YEAR|año	removed 2 <InsertSegments> element(s)	Evidenced
dtd:element/InsertSimpleContext	Surface	languages/templatic-root-modification	spr	ok::SPR|spr	Word	ok::SPR+FORMII|spr;SPR|spr	removed 1 <InsertSimpleContext> element(s)	Evidenced
dtd:element/Language	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'HermitCrabInput' has incomplete conten...	removed 1 <Language> element(s)	RequiredToLoad
dtd:element/LeftEnvironment	Surface	edge-cases/diacritic-segments	añota	ok::-	Word	ok::YEAR+DIM|añota	removed 1 <LeftEnvironment> element(s)	Evidenced
dtd:element/LexicalEntries	Surface	edge-cases/alpha-variable-name-collision	ia	ok::AU|ia	Word	ok::-	removed 1 <LexicalEntries> element(s)	Evidenced
dtd:element/LexicalEntry	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntries' has incomplete content...	removed 1 <LexicalEntry> element(s)	RequiredToLoad
dtd:element/MetathesisRule	Surface	edge-cases/feature-system-breadth	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mtDecoy'.    at System.Xml.Xml...	removed 3 <MetathesisRule> element(s)	RequiredToLoad
dtd:element/ModifyFromInput	Surface	languages/fusional-realizational-morphology	sang	ok::SING+ABLAUT|sang	Word	ok::-	removed 1 <ModifyFromInput> element(s)	Evidenced
dtd:element/MorphemeCoOccurrenceRule	Surface	edge-cases/morphotactic-attribute-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphemeCoOccurrenceRules' has incompl...	removed 2 <MorphemeCoOccurrenceRule> element(s)	RequiredToLoad
dtd:element/MorphemeCoOccurrenceRules	Surface	languages/suffixing-evidential-adjacency-chain	walakntan	ok::-	Word	ok::WALAK+3SG+ASSUM|walakntan	removed 1 <MorphemeCoOccurrenceRules> element(s)	Evidenced
dtd:element/MorphemeId	Surface	edge-cases/alpha-variable-name-collision	ia	ok::AU|ia	Word	ok::|ia	removed 1 <MorphemeId> element(s)	Evidenced
dtd:element/MorphologicalInput	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrule' has invalid chil...	removed 2 <MorphologicalInput> element(s)	RequiredToLoad
dtd:element/MorphologicalOutput	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has incomplete con...	removed 4 <MorphologicalOutput> element(s)	RequiredToLoad
dtd:element/MorphologicalPhonologicalRuleFeature	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalPhonologicalRuleFeatures'...	removed 2 <MorphologicalPhonologicalRuleFeature> element(s)	RequiredToLoad
dtd:element/MorphologicalPhonologicalRuleFeatureGroup	Surface	languages/fusional-realizational-morphology	yxpedz	ok::-	Word	ok::THEMEY+THEMEX+PED+ENDZ|yxpedz	removed 3 <MorphologicalPhonologicalRuleFeatureGroup> element(s)	Evidenced
dtd:element/MorphologicalPhonologicalRuleFeatures	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'mprDecoy'.    at System.Xml.Xm...	removed 1 <MorphologicalPhonologicalRuleFeatures> element(s)	RequiredToLoad
dtd:element/MorphologicalRule	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rDim'.    at System.Xml.XmlVal...	removed 2 <MorphologicalRule> element(s)	RequiredToLoad
dtd:element/MorphologicalRuleDefinitions	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	removed 1 <MorphologicalRuleDefinitions> element(s)	RequiredToLoad
dtd:element/MorphologicalSubrule	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalSubrules' has incomplete ...	removed 2 <MorphologicalSubrule> element(s)	RequiredToLoad
dtd:element/MorphologicalSubrules	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MorphologicalRule' has invalid child e...	removed 2 <MorphologicalSubrules> element(s)	RequiredToLoad
dtd:element/Name	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	removed 8 <Name> element(s)	RequiredToLoad
dtd:element/NaturalClasses	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'ncVowel'.    at System.Xml.Xml...	removed 1 <NaturalClasses> element(s)	RequiredToLoad
dtd:element/NonHeadMorphologicalInput	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrule' has invalid child ...	removed 4 <NonHeadMorphologicalInput> element(s)	RequiredToLoad
dtd:element/NonHeadRequiredFootFeatures	Surface	edge-cases/compounding-breadth	kati	ok::-	Word	ok::KA+TI|kati	removed 2 <NonHeadRequiredFootFeatures> element(s)	Evidenced
dtd:element/NonHeadRequiredHeadFeatures	Surface	edge-cases/compounding-breadth	kaki	ok::-	Word	ok::KA+KI|kaki	removed 2 <NonHeadRequiredHeadFeatures> element(s)	Evidenced
dtd:element/OptionalSegmentSequence	Surface	edge-cases/compounding-breadth	katu	ok::KA+TU|katu	Word	ok::-	removed 4 <OptionalSegmentSequence> element(s)	Evidenced
dtd:element/OutputFootFeatures	Surface	edge-cases/feature-gating-breadth	nalnomu	ok::NAL+LOUD+EMPH|nalnomu	Word	ok::-	removed 2 <OutputFootFeatures> element(s)	Evidenced
dtd:element/OutputHeadFeatures	Surface	languages/fusional-realizational-morphology	muno	ok::-	Word	ok::STEM+P1|muno	removed 10 <OutputHeadFeatures> element(s)	Evidenced
dtd:element/PartOfSpeech	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PartsOfSpeech' has incomplete content....	removed 1 <PartOfSpeech> element(s)	RequiredToLoad
dtd:element/PartsOfSpeech	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'P...	removed 1 <PartsOfSpeech> element(s)	RequiredToLoad
dtd:element/PhoneticInput	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has invalid child el...	removed 1 <PhoneticInput> element(s)	RequiredToLoad
dtd:element/PhoneticOutput	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrule' has incomplete co...	removed 1 <PhoneticOutput> element(s)	RequiredToLoad
dtd:element/PhoneticSequence	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	Word	ok::AU|au	removed 2 <PhoneticSequence> element(s)	Evidenced
dtd:element/PhoneticShape	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorph' has incomplete content. Lis...	removed 1 <PhoneticShape> element(s)	RequiredToLoad
dtd:element/PhoneticTemplate	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LeftEnvironment' has incomplete conten...	removed 1 <PhoneticTemplate> element(s)	RequiredToLoad
dtd:element/PhonologicalFeatureSystem	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	removed 1 <PhonologicalFeatureSystem> element(s)	RequiredToLoad
dtd:element/PhonologicalRule	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	removed 1 <PhonologicalRule> element(s)	RequiredToLoad
dtd:element/PhonologicalRuleDefinitions	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'prDoubleAlpha'.    at System.X...	removed 1 <PhonologicalRuleDefinitions> element(s)	RequiredToLoad
dtd:element/PhonologicalSubrule	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalSubrules' has incomplete c...	removed 1 <PhonologicalSubrule> element(s)	RequiredToLoad
dtd:element/PhonologicalSubrules	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'PhonologicalRule' has incomplete conte...	removed 1 <PhonologicalSubrules> element(s)	RequiredToLoad
dtd:element/Property	Surface	edge-cases/feature-gating-breadth	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Properties' has incomplete content. Li...	removed 1 <Property> element(s)	RequiredToLoad
dtd:element/RealizationalFeatures	Surface	edge-cases/feature-gating-breadth	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'RealizationalFeatures' has incomplete ...	emptied 1 <RealizationalFeatures> element(s) (1 child node(s) removed) rather than deleting them, in place of a deletion that did not terminate	RequiredToLoad
dtd:element/RealizationalRule	Surface	edge-cases/feature-gating-breadth	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'rrPast'.    at System.Xml.XmlV...	removed 1 <RealizationalRule> element(s)	RequiredToLoad
dtd:element/Region	Surface	languages/fusional-realizational-morphology	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Regions' has incomplete content. List ...	removed 4 <Region> element(s)	RequiredToLoad
dtd:element/Regions	Surface	languages/fusional-realizational-morphology	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemName' has incomplete content. List...	removed 2 <Regions> element(s)	RequiredToLoad
dtd:element/Representation	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Representations' has incomplete conten...	removed 4 <Representation> element(s)	RequiredToLoad
dtd:element/Representations	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinition' has invalid child e...	removed 4 <Representations> element(s)	RequiredToLoad
dtd:element/RequiredEnvironments	Surface	edge-cases/diacritic-segments	añota	ok::-	Word	ok::YEAR+DIM|añota	removed 1 <RequiredEnvironments> element(s)	Evidenced
dtd:element/RequiredFootFeatures	Surface	edge-cases/feature-gating-breadth	molka	ok::-	Word	ok::MOL+AGR|molka	removed 2 <RequiredFootFeatures> element(s)	Evidenced
dtd:element/RequiredHeadFeatures	Surface	edge-cases/feature-gating-breadth	tunka	ok::-	Word	ok::TUN+AGR|tunka	removed 1 <RequiredHeadFeatures> element(s)	Evidenced
dtd:element/RightEnvironment	Surface	edge-cases/disjunctive-recheck	wak	ok::|wak	Word	ok::-	removed 1 <RightEnvironment> element(s)	Evidenced
dtd:element/Segment	Surface	edge-cases/diacritic-segments	añota	ok::-	Word	ok::YEAR+DIM|añota	removed 4 <Segment> element(s)	Evidenced
dtd:element/SegmentDefinition	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SegmentDefinitions' has incomplete con...	removed 4 <SegmentDefinition> element(s)	RequiredToLoad
dtd:element/SegmentDefinitions	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CharacterDefinitionTable' has incomple...	removed 1 <SegmentDefinitions> element(s)	RequiredToLoad
dtd:element/SegmentNaturalClass	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	removed 1 <SegmentNaturalClass> element(s)	RequiredToLoad
dtd:element/Segments	Surface	edge-cases/strrep-identity	pat	ok::+|[(^0)∅]?+?pat;|pat	Word	ok::+|[(^0)φ]?+?pat;|pat	removed 1 <Segments> element(s)	Evidenced
dtd:element/SimpleContext	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	Word	ok::AU|au	removed 4 <SimpleContext> element(s)	Evidenced
dtd:element/Slot	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplate' has incomplete content....	removed 1 <Slot> element(s)	RequiredToLoad
dtd:element/StemName	Surface	languages/fusional-realizational-morphology	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'StemNames' has incomplete content. Lis...	removed 2 <StemName> element(s)	RequiredToLoad
dtd:element/StemNames	Surface	languages/fusional-realizational-morphology	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'snP1P3'.    at System.Xml.XmlV...	removed 1 <StemNames> element(s)	RequiredToLoad
dtd:element/Strata	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has incomplete content. List...	removed 1 <Strata> element(s)	RequiredToLoad
dtd:element/Stratum	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Strata' has incomplete content. List o...	removed 1 <Stratum> element(s)	RequiredToLoad
dtd:element/StructuralDescription	Surface	edge-cases/feature-system-breadth	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'MetathesisRule' has incomplete content...	removed 3 <StructuralDescription> element(s)	RequiredToLoad
dtd:element/Symbol	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Symbols' has incomplete content. List ...	removed 4 <Symbol> element(s)	RequiredToLoad
dtd:element/SymbolicFeature	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'featRound'.    at System.Xml.X...	removed 2 <SymbolicFeature> element(s)	RequiredToLoad
dtd:element/Symbols	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'SymbolicFeature' has incomplete conten...	removed 2 <Symbols> element(s)	RequiredToLoad
dtd:element/VariableFeature	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'VariableFeatures' has incomplete conte...	removed 2 <VariableFeature> element(s)	RequiredToLoad
dtd:element/VariableFeatures	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'varRound'.    at System.Xml.Xm...	removed 1 <VariableFeatures> element(s)	RequiredToLoad
dtd:enum/AffixTemplate/final/false	Surface	edge-cases/morphotactic-attribute-breadth	kulpu	ok::-	Word	ok::KUL+NF|kulpu	rewrote 1 AffixTemplate@final from "false" to "true"	Evidenced
dtd:enum/AffixTemplate/final/true	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	Word	ok::-	rewrote 1 AffixTemplate@final from "true" to "false"	Evidenced
dtd:enum/AffixTemplate/isActive/no	Surface	edge-cases/loader-isactive-breadth	qukul	ok::-	Word	ok::QU+KUL|qukul	rewrote 1 AffixTemplate@isActive from "no" to "yes"	Evidenced
dtd:enum/AffixTemplate/isActive/yes	Surface	edge-cases/loader-isactive-breadth	takul	ok::TA+KUL|takul	Word	ok::-	rewrote 1 AffixTemplate@isActive from "yes" to "no"	Evidenced
dtd:enum/Allomorph/isActive/no	Surface	edge-cases/loader-isactive-breadth	kol	ok::-	Word	ok::KUL|kol	rewrote 1 Allomorph@isActive from "no" to "yes"	Evidenced
dtd:enum/Allomorph/isActive/yes	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	Word	ok::-	rewrote 1 Allomorph@isActive from "yes" to "no"	Evidenced
dtd:enum/Allomorph/isBound/false	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	Word	ok::-	rewrote 1 Allomorph@isBound from "false" to "true"	Evidenced
dtd:enum/Allomorph/isBound/true	Surface	edge-cases/morphotactic-attribute-breadth	kur	ok::-	Word	ok::KUL|kur	rewrote 1 Allomorph@isBound from "true" to "false"	Evidenced
dtd:enum/AllomorphCoOccurrenceRule/adjacency/adjacentToLeft	Surface	edge-cases/morphotactic-attribute-breadth	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "adjacentToLeft" to "adjacentToRight"	Evidenced
dtd:enum/AllomorphCoOccurrenceRule/adjacency/adjacentToRight	Surface	edge-cases/morphotactic-attribute-breadth	topsakatana	ok::TOP+COA+COB+COC+COD|topsakatana	Word	ok::-	rewrote 1 AllomorphCoOccurrenceRule@adjacency from "adjacentToRight" to "adjacentToLeft"	Evidenced
