# GENERATED. One line per coverage item resolved by evidence -- an item resolved by
# proof instead lives in semantic-coverage-proofs.tsv, never here. Columns are
# explicit so CoverageCompletenessGate reads structure, never Delta's free-text prose.
# counterexample_kind is Word or LoadFailure and the two are never summed into one
# count -- see CoverageCompletenessGate. Absent fields are "-".
item_id	kind	fixture	example_word	example_outcome	counterexample_kind	counterexample_outcome	mutation	verdict
dtd:element/AffixTemplate	Surface	edge-cases/diacritic-segments	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AffixTemplates' has incomplete content...	removed 1 <AffixTemplate> element(s)	RequiredToLoad
dtd:element/AffixTemplates	Surface	edge-cases/loader-isactive-breadth	takul	ok::TA+KUL|takul	Word	ok::-	removed 1 <AffixTemplates> element(s)	Evidenced
dtd:element/Allomorph	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Allomorphs' has incomplete content. Li...	removed 1 <Allomorph> element(s)	RequiredToLoad
dtd:element/AllomorphCoOccurrenceRule	Surface	edge-cases/morphotactic-attribute-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AllomorphCoOccurrenceRules' has incomp...	removed 6 <AllomorphCoOccurrenceRule> element(s)	RequiredToLoad
dtd:element/AllomorphCoOccurrenceRules	Surface	edge-cases/morphotactic-attribute-breadth	sol	ok::-	Word	ok::SOL|sol	removed 1 <AllomorphCoOccurrenceRules> element(s)	Evidenced
dtd:element/Allomorphs	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'LexicalEntry' has invalid child elemen...	removed 1 <Allomorphs> element(s)	RequiredToLoad
dtd:element/AlphaVariable	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'AlphaVariables' has incomplete content...	removed 4 <AlphaVariable> element(s)	RequiredToLoad
dtd:element/AlphaVariables	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	Word	ok::AU|au	removed 4 <AlphaVariables> element(s)	Evidenced
dtd:element/AssignedFootFeatures	Surface	edge-cases/compounding-breadth	kati	ok::-	Word	ok::KA+TI|kati	removed 6 <AssignedFootFeatures> element(s)	Evidenced
dtd:element/AssignedHeadFeatures	Surface	edge-cases/compounding-breadth	kaki	ok::-	Word	ok::KA+KI|kaki	removed 6 <AssignedHeadFeatures> element(s)	Evidenced
dtd:element/BoundaryDefinition	Surface	edge-cases/loader-isactive	kat	ok::|kat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'BoundaryDefinitions' has incomplete co...	removed 1 <BoundaryDefinition> element(s)	RequiredToLoad
dtd:element/BoundaryDefinitions	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. SIL.Machine.Morphology.HermitCrab.InvalidShapeException: The shape, +, contains an undefined phonem...	removed 1 <BoundaryDefinitions> element(s)	RequiredToLoad
dtd:element/BoundaryMarker	Surface	languages/metathesis-phase-isolation	katibɯd	ok::KTB+PERF|katibɯd	Word	ok::KTB+PERF|katib?d	removed 1 <BoundaryMarker> element(s)	Evidenced
dtd:element/CharacterDefinitionTable	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'Language' has invalid child element 'N...	removed 1 <CharacterDefinitionTable> element(s)	RequiredToLoad
dtd:element/ComplexFeature	Surface	edge-cases/feature-system-breadth	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'cfDecoy'.    at System.Xml.Xml...	removed 2 <ComplexFeature> element(s)	RequiredToLoad
dtd:element/CompoundingRule	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'crDecoy'.    at System.Xml.Xml...	removed 4 <CompoundingRule> element(s)	RequiredToLoad
dtd:element/CompoundingSubrule	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingSubrules' has incomplete co...	removed 4 <CompoundingSubrule> element(s)	RequiredToLoad
dtd:element/CompoundingSubrules	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'CompoundingRule' has invalid child ele...	removed 4 <CompoundingSubrules> element(s)	RequiredToLoad
dtd:element/CopyFromInput	Surface	edge-cases/compounding-breadth	katu	ok::KA+TU|katu	Word	ok::-	removed 8 <CopyFromInput> element(s)	Evidenced
dtd:element/Environment	Surface	edge-cases/mpr-gated-exception	tulik	ok::TULIK|tulik	Word	ok::-	removed 3 <Environment> element(s)	Evidenced
dtd:element/ExcludedEnvironments	Surface	edge-cases/feature-system-breadth	salk	ok::-	Word	ok::SAL+SUF|salk	removed 1 <ExcludedEnvironments> element(s)	Evidenced
dtd:element/Families	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	removed 1 <Families> element(s)	RequiredToLoad
dtd:element/Family	Surface	edge-cases/loader-isactive-breadth	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'famDecoy'.    at System.Xml.Xm...	removed 2 <Family> element(s)	RequiredToLoad
dtd:element/FeatureNaturalClass	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaValidationException: The element 'NaturalClasses' has incomplete content...	removed 1 <FeatureNaturalClass> element(s)	RequiredToLoad
dtd:element/FeatureValue	Surface	edge-cases/alpha-variable-name-collision	au	ok::-	Word	ok::AU|[iyau][iyau]	removed 8 <FeatureValue> element(s)	Evidenced
dtd:element/FootFeatures	Surface	edge-cases/compounding-breadth	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: Reference to undeclared ID is 'clsB'.    at System.Xml.XmlVal...	removed 1 <FootFeatures> element(s)	RequiredToLoad
dtd:element/Gloss	Surface	edge-cases/strrep-identity	pat	ok::+|[(^0)∅]?+?pat;|pat	Word	ok::+|[(^0)φ]?+?pat;|pat	removed 5 <Gloss> element(s)	Evidenced
dtd:element/HeadFeatures	Surface	languages/metathesis-phase-isolation	katibɯd	ok::KTB+PERF|katibɯd	Word	ok::KTB+PERF|katib?d	removed 1 <HeadFeatures> element(s)	Evidenced
