# GENERATED by hc-conformance --write-dataflow-obligations. One row per required CELL of
# docs/dataflow-coverage-plan.md's obligation matrix, built on conformance/interaction-chains.tsv
# (InteractionChainLedger). Every chain gates (see DataflowObligationLedger's own doc comment for
# why the old required*/excluded*-name heuristic was wrong), so cell_kind=McDc contributes the
# floor 4 cells per chain (PresentControl/PresentGatedForm/AbsentControl/AbsentGatedForm).
# cell_kind=ConditionExtension adds the extra MC/DC vectors an MPR-feature gate needs when a real
# fixture's attribute value lists more than one feature id (n conditions need n+1 cases, not a
# fixed 2) -- attributed to the specific fixture that realizes it. cell_kind=Mutator adds a
# MutatorAbsent/MutatorPresent pair per (chain, ObligationMutatorClass) the payload type/writer
# make schema-applicable -- mutator_class names which one; only Overwrite has a corpus detector
# today, the other three are declared-but-unmodelled. status is Satisfied only for a same-word
# PAIR witness (writer AND reader severance both flip one named word -- see
# conformance/interface-witness.tsv); NotSatisfied when the chain is not even structurally
# exercised; Unknown otherwise -- deliberate, not a gap (see this class's own doc comment).
cell_id	writer_element	writer_attribute	payload_type	reader_element	reader_attribute	cell_kind	role	mutator_class	status	evidence
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.headProdRestrictionsMprFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	headProdRestrictionsMprFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
