# GENERATED by hc-conformance --write-dataflow-obligations. One row per required CELL of
# docs/dataflow-coverage-plan.md's obligation matrix, built on conformance/interaction-chains.tsv
# (InteractionChainLedger). Every chain gates (see DataflowObligationLedger's own doc comment for
# why the old required*/excluded*-name heuristic was wrong), so cell_kind=McDc contributes the
# floor 4 cells per chain (PresentControl/PresentGatedForm/AbsentControl/AbsentGatedForm).
# cell_kind=ConditionExtension adds the extra MC/DC vectors an MPR-feature gate needs when a real
# fixture's attribute value lists more than one feature id (n conditions need n+1 cases, not a
# fixed 2) -- attributed to the specific fixture that realizes it. cell_kind=Mutator adds a
# MutatorAbsent/MutatorPresent pair per (chain, ObligationMutatorClass) the payload type/writer
# make schema-applicable -- mutator_class names which one; only Overwrite has a corpus detector
# today, the other three are declared-but-unmodelled. status is Satisfied only for a same-word
# PAIR witness (writer AND reader severance both flip one named word -- see
# conformance/interface-witness.tsv); NotSatisfied when the chain is not even structurally
# exercised; Unknown otherwise -- deliberate, not a gap (see this class's own doc comment).
cell_id	writer_element	writer_attribute	payload_type	reader_element	reader_attribute	cell_kind	role	mutator_class	status	evidence
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->CompoundingRule.nonHeadProdRestrictionsMprFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	CompoundingRule	nonHeadProdRestrictionsMprFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->HeadMorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	HeadMorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.excludedMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	excludedMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorAbsent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorAbsent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->MorphologicalInput.requiredMPRFeatures::Mutator:MutatorPresent:Overwrite	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	MorphologicalInput	requiredMPRFeatures	Mutator	MutatorPresent	Overwrite	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::McDc:AbsentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	McDc	AbsentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::McDc:AbsentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	McDc	AbsentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::McDc:PresentControl	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	McDc	PresentControl	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::McDc:PresentGatedForm	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	McDc	PresentGatedForm	-	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorAbsent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorAbsent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorPresent:Blocking	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorPresent	Blocking	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
MorphologicalPhonologicalRuleFeature::CompoundingRule.outputProdRestrictionsMprFeatures->PhonologicalSubrule.excludedMPRFeatures::Mutator:MutatorAbsent:CompoundingNonHeadDrop	CompoundingRule	outputProdRestrictionsMprFeatures	MorphologicalPhonologicalRuleFeature	PhonologicalSubrule	excludedMPRFeatures	Mutator	MutatorAbsent	CompoundingNonHeadDrop	NotSatisfied	chain unexercised: no fixture sets writer and reader to a shared id (conformance/interaction-chains.tsv)
