# GENERATED by hc-conformance --write-coverage-traceability. One row per (element, attribute,
# fixture) triple InterfaceInventoryLedger marks present -- i.e. one severance run per place the
# interface actually shows up. Presence (interface-inventory.tsv) only means the attribute
# resolves to a real IDREF somewhere; it says nothing about whether the interface DOES anything.
# This ledger answers that by emptying the attribute out of every occurrence in the fixture and
# re-parsing every word against the mutant, exactly as CounterfactualLedger does for a unit
# surface. verdict is CounterfactualVerdict: only Evidenced is a word-level witness;
# RequiredByLoader/RequiredByDtd mean severing it made the grammar fail to load (a real but weaker
# signal -- no word was ever reached); Unobservable means the interface is present but INERT in
# this fixture -- every word parsed identically with it severed. Absent fields are "-".
element	attribute	fixture	verdict	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome
AffixTemplate	requiredPartsOfSpeech	edge-cases/deep-optional-affix-nesting	Unobservable	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	all 3 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	edge-cases/diacritic-segments	Unobservable	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	all 13 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	edge-cases/loader-isactive-breadth	Unobservable	removed requiredPartsOfSpeech from 2 <AffixTemplate> element(s)	all 18 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	edge-cases/morphotactic-attribute-breadth	Unobservable	removed requiredPartsOfSpeech from 3 <AffixTemplate> element(s)	all 33 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	languages/prefixal-discontinuous-slot-dependency	Unobservable	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	all 10 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	languages/suffixing-evidential-adjacency-chain	Unobservable	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	all 28 word(s) unchanged	-	-	None	-
AffixTemplate	requiredPartsOfSpeech	languages/suffixing-extension-slot-ordering	Evidenced	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	'mpe': ok::PPE|mpe -> ok::-	mpe	ok::PPE|mpe	Word	ok::-
AffixTemplate	requiredPartsOfSpeech	languages/suffixing-vowel-harmony	Evidenced	removed requiredPartsOfSpeech from 1 <AffixTemplate> element(s)	'gan': ok::GAN|gan -> ok::-	gan	ok::GAN|gan	Word	ok::-
Allomorph	stemName	edge-cases/stem-name-restricted-root-allomorph	Evidenced	removed stemName from 1 <Allomorph> element(s)	'kap': ok::- -> ok::ROOT|kap	kap	ok::-	Word	ok::ROOT|kap
Allomorph	stemName	languages/fusional-realizational-morphology	Evidenced	removed stemName from 2 <Allomorph> element(s)	'muno': ok::- -> ok::STEM+P1|muno	muno	ok::-	Word	ok::STEM+P1|muno
Allomorph	stemName	languages/suffixing-extension-slot-ordering	Evidenced	removed stemName from 1 <Allomorph> element(s)	'daleh': ok::DAL+STEMREQ|daleh -> ok::-	daleh	ok::DAL+STEMREQ|daleh	Word	ok::-
Allomorph	stemName	languages/templatic-root-modification	Evidenced	removed stemName from 2 <Allomorph> element(s)	'halaku': ok::- -> ok::HLK+IMPF|halaku	halaku	ok::-	Word	ok::HLK+IMPF|halaku
AllomorphCoOccurrenceRule	otherAllomorphs	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed otherAllomorphs from 6 <AllomorphCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherAllom...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherAllom...
AllomorphCoOccurrenceRule	otherAllomorphs	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed otherAllomorphs from 1 <AllomorphCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherAllom...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'otherAllom...
AllomorphCoOccurrenceRule	primaryAllomorph	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed primaryAllomorph from 6 <AllomorphCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryAll...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryAll...
AllomorphCoOccurrenceRule	primaryAllomorph	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed primaryAllomorph from 1 <AllomorphCoOccurrenceRule> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryAll...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'primaryAll...
