# GENERATED by hc-conformance --write-coverage-traceability. One row per (element, attribute,
# fixture) triple InterfaceInventoryLedger marks present -- i.e. one severance run per place the
# interface actually shows up. Presence (interface-inventory.tsv) only means the attribute
# resolves to a real IDREF somewhere; it says nothing about whether the interface DOES anything.
# This ledger answers that by emptying the attribute out of every occurrence in the fixture and
# re-parsing every word against the mutant, exactly as CounterfactualLedger does for a unit
# surface. verdict is CounterfactualVerdict: only Evidenced is a word-level witness;
# RequiredByLoader/RequiredByDtd mean severing it made the grammar fail to load (a real but weaker
# signal -- no word was ever reached); Unobservable means the interface is present but INERT in
# this fixture -- every word parsed identically with it severed. Absent fields are "-".
element	attribute	fixture	verdict	mutation	delta	example_word	example_outcome	counterexample_kind	counterexample_outcome
AlphaVariable	variableFeature	edge-cases/alpha-variable-name-collision	RequiredByDtd	removed variableFeature from 4 <AlphaVariable> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...
AlphaVariable	variableFeature	edge-cases/feature-system-breadth	RequiredByDtd	removed variableFeature from 2 <AlphaVariable> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...
AlphaVariable	variableFeature	languages/suffixing-vowel-harmony	RequiredByDtd	removed variableFeature from 2 <AlphaVariable> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...	semitide	ok::SEMIT+PAST|semitide	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'variableFe...
BoundaryMarker	boundary	languages/metathesis-phase-isolation	RequiredByDtd	removed boundary from 1 <BoundaryMarker> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'boundary' ...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'boundary' ...
CompoundingRule	headPartsOfSpeech	edge-cases/compounding-breadth	Unobservable	removed headPartsOfSpeech from 4 <CompoundingRule> element(s)	all 11 word(s) unchanged	-	-	None	-
CompoundingRule	headPartsOfSpeech	languages/fusional-realizational-morphology	Unobservable	removed headPartsOfSpeech from 3 <CompoundingRule> element(s)	all 63 word(s) unchanged	-	-	None	-
CompoundingRule	headPartsOfSpeech	languages/polysynthetic-stratal-derivation-chain	Evidenced	removed headPartsOfSpeech from 2 <CompoundingRule> element(s)	'silaaku': ok::- -> ok::SILA+AKU|sila+?aku;SILA+AKU|sila+?aku	silaaku	ok::-	Word	ok::SILA+AKU|sila+?aku;SILA+AKU|sila+?aku
CompoundingRule	headProdRestrictionsMprFeatures	languages/fusional-realizational-morphology	Evidenced	removed headProdRestrictionsMprFeatures from 1 <CompoundingRule> element(s)	'seclav': ok::- -> ok::SEC+LAV|sec+?lav	seclav	ok::-	Word	ok::SEC+LAV|sec+?lav
CompoundingRule	nonHeadPartsOfSpeech	edge-cases/compounding-breadth	Unobservable	removed nonHeadPartsOfSpeech from 4 <CompoundingRule> element(s)	all 11 word(s) unchanged	-	-	None	-
CompoundingRule	nonHeadPartsOfSpeech	languages/fusional-realizational-morphology	Unobservable	removed nonHeadPartsOfSpeech from 3 <CompoundingRule> element(s)	all 63 word(s) unchanged	-	-	None	-
CompoundingRule	nonHeadPartsOfSpeech	languages/polysynthetic-stratal-derivation-chain	Unobservable	removed nonHeadPartsOfSpeech from 2 <CompoundingRule> element(s)	all 24 word(s) unchanged	-	-	None	-
CompoundingRule	outputObligatoryFeatures	languages/fusional-realizational-morphology	Unobservable	removed outputObligatoryFeatures from 1 <CompoundingRule> element(s)	all 63 word(s) unchanged	-	-	None	-
CompoundingRule	outputPartOfSpeech	edge-cases/compounding-breadth	Evidenced	removed outputPartOfSpeech from 4 <CompoundingRule> element(s)	'katumi': ok::- -> ok::KA+TU+TPLSUF|katumi	katumi	ok::-	Word	ok::KA+TU+TPLSUF|katumi
CompoundingRule	outputPartOfSpeech	languages/fusional-realizational-morphology	Unobservable	removed outputPartOfSpeech from 1 <CompoundingRule> element(s)	all 63 word(s) unchanged	-	-	None	-
CopyFromInput	index	edge-cases/compounding-breadth	RequiredByDtd	removed index from 9 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/cross-table-root-respelling	RequiredByDtd	removed index from 1 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	t	ok::ROOT1|m;ROOT3|t	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/deep-optional-affix-nesting	RequiredByDtd	removed index from 12 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	k	ok::K|k	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/diacritic-segments	RequiredByDtd	removed index from 2 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	año	ok::YEAR|año	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/disjunctive-recheck	RequiredByDtd	removed index from 3 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	wak	ok::|wak	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/feature-gating-breadth	RequiredByDtd	removed index from 4 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/feature-system-breadth	RequiredByDtd	removed index from 1 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/free-fluctuating-allomorph-pair	RequiredByDtd	removed index from 1 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	pol	ok::ALT|pol	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/loader-isactive-breadth	RequiredByDtd	removed index from 8 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	kul	ok::KUL|kul	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed index from 18 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/mpr-gated-exception	RequiredByDtd	removed index from 4 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	tulik	ok::TULIK|tulik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/mpr-group-overwrite-without-realizational	RequiredByDtd	removed index from 3 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	dof	ok::DOF|dof	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/mpr-overwrite-order-dependence	RequiredByDtd	removed index from 6 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	dabo	ok::DABO|dabo	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/stem-name-restricted-root-allomorph	RequiredByDtd	removed index from 2 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/strrep-identity	RequiredByDtd	removed index from 5 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	pat	ok::+|[(^0)∅]?+?pat;|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/subrule-morphosyntactic-gating	RequiredByDtd	removed index from 1 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	pat	ok::ROOT1|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	edge-cases/truncate-morphotactic	RequiredByDtd	removed index from 3 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	sag	ok::|sag	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/fusional-realizational-morphology	RequiredByDtd	removed index from 28 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/metathesis-phase-isolation	RequiredByDtd	removed index from 15 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/polysynthetic-stratal-derivation-chain	RequiredByDtd	removed index from 8 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	nuna	ok::NUNA|nuna	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/prefixal-discontinuous-slot-dependency	RequiredByDtd	removed index from 8 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	shiyidkal	ok::SBJ+PRF+CLF+KAL|shiyidkal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/suffixing-evidential-adjacency-chain	RequiredByDtd	removed index from 13 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	tupay	ok::TUPA+1SG|tupay;TUPA2+1SG|tupay	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/suffixing-extension-slot-ordering	RequiredByDtd	removed index from 19 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	mbe	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/suffixing-vowel-harmony	RequiredByDtd	removed index from 7 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	semitide	ok::SEMIT+PAST|semitide	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
CopyFromInput	index	languages/templatic-root-modification	RequiredByDtd	removed index from 9 <CopyFromInput> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'index' is ...
FeatureValue	feature	edge-cases/alpha-variable-name-collision	RequiredByDtd	removed feature from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/compounding-breadth	RequiredByDtd	removed feature from 20 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	ka	ok::KA|ka	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/cross-table-root-respelling	RequiredByDtd	removed feature from 10 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	t	ok::ROOT1|m;ROOT3|t	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/disjunctive-recheck	RequiredByDtd	removed feature from 13 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	wak	ok::|wak	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/feature-gating-breadth	RequiredByDtd	removed feature from 15 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	kal	ok::KAL|kal	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/feature-system-breadth	RequiredByDtd	removed feature from 27 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	ik	ok::AK|ik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/free-fluctuating-allomorph-pair	RequiredByDtd	removed feature from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	pol	ok::ALT|pol	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/loader-default-symbol	RequiredByDtd	removed feature from 14 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	bat	ok::|bat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/loader-isactive	RequiredByDtd	removed feature from 9 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	kat	ok::|kat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/metathesis-comparison-crash	RequiredByDtd	removed feature from 2 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	ti	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/morphotactic-attribute-breadth	RequiredByDtd	removed feature from 4 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	topdori	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/mpr-gated-exception	RequiredByDtd	removed feature from 110 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	tulik	ok::TULIK|tulik	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/process-morphology-in-place-mutation	RequiredByDtd	removed feature from 6 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	i	ok::ROOT|i	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/rewrite-analysis-feature-neutralization	RequiredByDtd	removed feature from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	d	ok::ROOT1|b;ROOT2|d	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/right-to-left-anchor-environment	RequiredByDtd	removed feature from 2 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	aae	ok::ROOT1|aae	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/simultaneous-epenthesis-cascade	RequiredByDtd	removed feature from 23 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	bubu	threw::InfiniteLoopException	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/stem-name-restricted-root-allomorph	RequiredByDtd	removed feature from 3 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	tam	ok::ROOT|tam	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/subrule-morphosyntactic-gating	RequiredByDtd	removed feature from 16 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	pat	ok::ROOT1|pat	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/synthesis-stratum-render-stale-table	RequiredByDtd	removed feature from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	j	ok::ROOTCROSS|	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	edge-cases/truncate-morphotactic	RequiredByDtd	removed feature from 19 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	sag	ok::|sag	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/fusional-realizational-morphology	RequiredByDtd	removed feature from 43 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	mun	ok::STEM|mun	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/metathesis-phase-isolation	RequiredByDtd	removed feature from 140 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	idil	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/polysynthetic-stratal-derivation-chain	RequiredByDtd	removed feature from 121 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	nuna	ok::NUNA|nuna	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/suffixing-extension-slot-ordering	RequiredByDtd	removed feature from 131 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	mbe	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/suffixing-vowel-harmony	RequiredByDtd	removed feature from 116 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	semitide	ok::SEMIT+PAST|semitide	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	feature	languages/templatic-root-modification	RequiredByDtd	removed feature from 127 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...	katab	ok::KTB|katab	LoadFailure	InvalidOperationException: Unhandled exception. System.Xml.Schema.XmlSchemaException: The required attribute 'feature' i...
FeatureValue	symbolValues	edge-cases/alpha-variable-name-collision	RequiredByLoader	removed symbolValues from 8 <FeatureValue> element(s)	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....	au	ok::-	LoadFailure	InvalidOperationException: Unhandled exception. System.InvalidCastException: Unable to cast object of type 'SIL.Machine....
